bill_id,date,hour,outlet,item_name,quantity,price,payment_mode
B23683,26-04-2026,15,Karol Bagh,Masala Chai,2,30,UPI
B28925,09-06-2026,8,Noida Sec 18,Kulhad Chai,1,50,UPI
B14125,04-02-2026,9,Noida Sec 18,Masala Chai,2,30,UPI
B11547,14-01-2026,8,Karol Bagh,Iced Tea,1,80,UPI
B10511,05-01-2026,10,Karol Bagh,Samosa,1,25,UPI
B27868,31-05-2026,18,Karol Bagh,Samosa,1,25,UPI
B27775,30-05-2026,16,Karol Bagh,Fresh Lime Soda,2,60,UPI
B23785,27-04-2026,8,Noida Sec 18,Masala Chai,2,30,UPI
B19261,20-03-2026,11,Noida Sec 18,Samosa,1,25,UPI
B20001,26-03-2026,8,Noida Sec 18,Maggi,1,60,UPI
B12447,22-01-2026,9,Connaught Place,Paneer Sandwich,2,80,UPI
B24764,05-05-2026,19,Noida Sec 18,Elaichi Chai,2,40,UPI
B25524,11-05-2026,9,Noida Sec 18,Masala Chai,2,30,Card
B15035,13-02-2026,12,Connaught Place,Masala Chai,1,30,UPI
B20484,30-03-2026,8,Noida Sec 18,Elaichi Chai,1,40,UPI
B11026,10-01-2026,18,Connaught Place,Poha,2,50,Card
B17180,03-03-2026,9,Connaught Place,Kulhad Chai,2,50,Card
B21955,12-04-2026,21,Connaught Place,Filter Coffee,1,60,Card
B25910,15-05-2026,10,Connaught Place,Elaichi Chai,1,40,UPI
B15087,13-02-2026,14,Karol Bagh,Maggi,1,60,UPI
B24869,06-05-2026,11,Karol Bagh,Green Tea,1,40,Card
B24808,06-05-2026,18,Connaught Place,Bun Maska,1,40,UPI
B24472,03-05-2026,18,Connaught Place,Cold Coffee,1,90,UPI
B28803,08-06-2026,12,Noida Sec 18,Fresh Lime Soda,1,60,Cash
B19555,23-03-2026,8,Connaught Place,Elaichi Chai,1,40,UPI
B11407,13-01-2026,17,Connaught Place,Masala Chai,1,30,Card
B20737,01-04-2026,11,Noida Sec 18,Fresh Lime Soda,1,60,UPI
B25730,13-05-2026,18,Karol Bagh,Masala Chai,1,30,Cash
B28494,06-06-2026,19,Connaught Place,Masala Chai,1,30,UPI
B28776,08-06-2026,8,Karol Bagh,Samosa,1,25,UPI
B15040,13-02-2026,16,Connaught Place,Maggi,2,60,Cash
B22022,12-04-2026,18,Noida Sec 18,Kulhad Chai,1,50,UPI
B18421,13-03-2026,9,Karol Bagh,Maggi,2,60,UPI
B17129,02-03-2026,11,Noida Sec 18,Samosa,1,25,Cash
